manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1001/jamainternmed.2017.4340	doi:10.1001/jamainternmed.2017.4340	doi:10.1001/jamainternmed.2017.4340	PwkCa9cq
doi:10.1001/jamainternmed.2018.3713	doi:10.1001/jamainternmed.2018.3713	doi:10.1001/jamainternmed.2018.3713	L4wXOjRX
doi:10.1002/cncr.21431	doi:10.1002/cncr.21431	doi:10.1002/cncr.21431	kYdmZkOd
doi:10.1016/j.clon.2016.05.003	doi:10.1016/j.clon.2016.05.003	doi:10.1016/j.clon.2016.05.003	bcJHwopH
doi:10.1016/j.cub.2009.11.066	doi:10.1016/j.cub.2009.11.066	doi:10.1016/j.cub.2009.11.066	CUXUOHx3
doi:10.1016/j.jacr.2006.02.023	doi:10.1016/j.jacr.2006.02.023	doi:10.1016/j.jacr.2006.02.023	gdp1ZapN
doi:10.1016/j.radi.2019.05.009	doi:10.1016/j.radi.2019.05.009	doi:10.1016/j.radi.2019.05.009	gcYDYJ6P
doi:10.1016/j.urolonc.2015.04.005	doi:10.1016/j.urolonc.2015.04.005	doi:10.1016/j.urolonc.2015.04.005	12WLsUQZz
doi:10.1016/j.visres.2010.04.020	doi:10.1016/j.visres.2010.04.020	doi:10.1016/j.visres.2010.04.020	YFvzsEu2
doi:10.1016/S0140-6736	doi:10.1016/S0140-6736	doi:10.1016/s0140-6736	12Yo2Wqzk
doi:10.1037/0096-3445.136.4.623	doi:10.1037/0096-3445.136.4.623	doi:10.1037/0096-3445.136.4.623	f6dC7TPP
doi:10.1038/435439a	doi:10.1038/435439a	doi:10.1038/435439a	FO7nrJY6
doi:10.1148/78.5.694	doi:10.1148/78.5.694	doi:10.1148/78.5.694	twyIxNLh
doi:10.1167/13.3.33	doi:10.1167/13.3.33	doi:10.1167/13.3.33	zLGy7VUt
doi:10.1167/9.1.31	doi:10.1167/9.1.31	doi:10.1167/9.1.31	GGN55MAr
doi:10.1371/journal.pone.0064366	doi:10.1371/journal.pone.0064366	doi:10.1371/journal.pone.0064366	bpr3toJK
doi:10.2214/AJR.06.1270	doi:10.2214/AJR.06.1270	doi:10.2214/ajr.06.1270	16PQVInWA
doi:10.3758/s13414-012-0354-4	doi:10.3758/s13414-012-0354-4	doi:10.3758/s13414-012-0354-4	hlvO0EOy
doi:10.5858/arpa.2010-0739-OA	doi:10.5858/arpa.2010-0739-OA	doi:10.5858/arpa.2010-0739-oa	1781dDiit
pmid:5382261	pmid:5382261	pmid:5382261	MVYtm8Xo
